Speaker,Phoneme,File,TimeStamp,Ortho,Sylls,Cat,Lemma,FolLiquid,logForwardBigram,SpeechRate,MinPairExist,Closure,VOT,StopLength,VOTLengthRatio
s07,b,s0704a,174.267057,boy,1,N,boy,FALSE,-4.722051029,7.042418452,FALSE,0.055453523,0.009133521,0.064587045,0.141414141
s07,b,s0703b,528.892731,born,1,V,born,FALSE,-4.998599664,6.100996363,TRUE,0.078041797,0.011395472,0.089437269,0.127413013
s07,b,s0703b,153.479993,break,1,N,break,TRUE,-7.194096917,6.713040349,FALSE,0.04689564,0.023231783,0.070127423,0.331279575
s07,b,s0704a,171.841158,bottom,2,J,bottom,FALSE,-6.96304814,6.366638033,FALSE,0.049581974,0.007176338,0.056758312,0.126436782
s07,d,s0701a,17.093,days,1,N,day,FALSE,-8.065238977,4.457981849,FALSE,0.061002066,0.019493141,0.080495208,0.242165242
s07,d,s0703b,560.175813,daughter,2,N,daughter,FALSE,-4.034929217,4.261700617,FALSE,0.050465661,0.023333585,0.073799246,0.316176471
s07,d,s0702a,150.94975,down,1,R,down,FALSE,-0.271933715,6.037212916,TRUE,0.050336373,0.015789878,0.066126251,0.238783806
s07,d,s0701b,235.092312,die,1,V,die,FALSE,-8.345250307,5.464101245,TRUE,0.048026497,0.017023072,0.065049569,0.261693847
s07,d,s0701b,574.409132,drive,1,N,drive,TRUE,-6.641703974,6.123748056,FALSE,0.028773697,0.024115099,0.052888796,0.455958549
s07,d,s0701b,247.241497,dinner,2,N,dinner,FALSE,-8.064386587,5.045913609,FALSE,0.102797167,0.024304757,0.127101924,0.191222571
s07,d,s0704a,116.9472,daughter,2,N,daughter,FALSE,-4.034929217,5.218691893,FALSE,0.050245623,0.015200356,0.065445979,0.232258065
s07,d,s0702a,434.596122,deck,1,N,deck,FALSE,-9.889584647,3.986982237,TRUE,0.071376136,0.019826704,0.091202841,0.217391304
s07,d,s0701a,232.5365,daughters,2,N,daughter,FALSE,-6.847212543,4.530961353,FALSE,0.056160449,0.01996816,0.076128608,0.262295082
s07,d,s0702b,491.24967,drives,1,V,drive,TRUE,-7.586804307,2.958200625,FALSE,0.030042634,0.026954139,0.056996773,0.472906404
s07,d,s0701a,342.049938,driven,2,J,driven,TRUE,-9.098512813,4.019852713,FALSE,0.100368593,0.021701317,0.12206991,0.177777778
s07,d,s0702b,259.203864,down,1,R,down,FALSE,-3.178053822,6.309644823,TRUE,0.03596363,0.024809927,0.060773557,0.408235553
s07,d,s0703a,471.831931,doctor,2,N,doctor,FALSE,-6.527100074,4.748771814,FALSE,0.053066321,0.020093073,0.073159393,0.274647887
s07,d,s0701b,148.392188,driving,2,V,drive,TRUE,-7.225366115,4.980625367,FALSE,0.058224378,0.029745063,0.087969441,0.338129496
s07,d,s0701b,371.752935,died,1,V,die,FALSE,-3.986202411,5.93220339,TRUE,0.050892348,0.009511655,0.060404003,0.157467297
s07,d,s0702b,407.193743,down,1,R,down,FALSE,-5.36815438,5.404152956,TRUE,0.044930129,0.013510458,0.058440587,0.231182796
s07,d,s0701b,254.91728,dinner,2,N,dinner,FALSE,-8.064386587,8.8080428,FALSE,0.041754081,0.01955518,0.06130926,0.318959639
s07,d,s0704a,103.251875,down,1,R,down,FALSE,-4.719942184,5.529691957,TRUE,0.041775168,0.010938394,0.052713562,0.207506253
s07,d,s0702a,124.617436,down,1,R,down,FALSE,-1.869317702,5.406796072,TRUE,0.051085048,0.024919535,0.076004583,0.327868852
s07,d,s0702a,321.355625,daughters,2,N,daughter,FALSE,-6.847212543,6.572874872,FALSE,0.02434121,0.01745128,0.041792489,0.41756976
s07,d,s0702b,98.820619,doctor,2,N,doctor,FALSE,-6.527100074,6.323083483,FALSE,0.041803027,0.012914756,0.054717784,0.236024845
s07,d,s0704a,210.520995,dad,1,N,dad,FALSE,-6.127687559,4.728159001,FALSE,0.055582315,0.017865744,0.07344806,0.243243243
s07,d,s0701a,174.566706,daughter,2,N,daughter,FALSE,-7.120409041,5.41495915,FALSE,0.044096352,0.02121617,0.065312522,0.324840764
s07,d,s0701a,324.05425,daughter,2,N,daughter,FALSE,-4.034929217,4.512077987,FALSE,0.024128193,0.020800166,0.044928359,0.462962963
s07,d,s0704a,30.394638,dad,1,N,dad,FALSE,-5.54126345,6.135938025,FALSE,0.050817954,0.015040291,0.065858245,0.228373702
s07,d,s0703b,312.355393,deal,1,V,deal,FALSE,-6.043375717,4.886880005,FALSE,0.099680491,0.035396746,0.135077236,0.262048193
