Speaker,Phoneme,File,TimeStamp,Ortho,Sylls,Lemma,FolLiquid,SpeechRate,MinPairExist,Closure,VOT,StopLength,VOTStopLengthRatio
s05,p,s0501b,453.315499,put,1,put,FALSE,7.192368216,FALSE,0.041577173,0.055040257,0.09661743,0.569672131
s05,p,s0502a,451.62469,places,2,place,TRUE,4.12732077,FALSE,0.039904214,0.027844274,0.067748488,0.410994764
s05,p,s0501a,301.883948,places,2,place,TRUE,4.727301784,FALSE,0.050017307,0.041458195,0.091475502,0.453216374
s05,p,s0503a,335.94909,place,1,place,TRUE,2.819747633,FALSE,0.057385093,0.065721996,0.123107089,0.533860369
s05,p,s0502a,217.795968,pretty,2,pretty,TRUE,5.525008398,FALSE,0.031518292,0.053769352,0.085287643,0.63044715
s05,p,s0504a,164.435,part,1,part,TRUE,4.163232,FALSE,0.061863534,0.058114229,0.119977764,0.484375
s05,p,s0502a,490.311262,pleased,1,please,TRUE,5.93220339,FALSE,0.047059977,0.069372898,0.116432875,0.595818815
s05,p,s0503a,548.038757,problem,2,problem,TRUE,7.851562639,FALSE,0.040102529,0.006580928,0.046683457,0.140969163
s05,p,s0502a,122.29725,places,2,place,TRUE,0.086392327,FALSE,0.063554252,0.058599641,0.122153892,0.479719799
s05,t,s0502a,208.055722,touch,1,touch,FALSE,4.054654718,FALSE,0.027755273,0.059070621,0.086825894,0.680334156
s05,t,s0502a,186.105766,talking,2,talk,FALSE,5.034576528,FALSE,0.037529006,0.040996836,0.078525841,0.522080818
s05,t,s0502b,371.142938,tough,1,tough,FALSE,5.483583522,FALSE,0.02612065,0.078361951,0.104482601,0.75
s05,t,s0504a,154.685814,try,1,try,TRUE,5.555555556,TRUE,0.03126242,0.064603721,0.09586614,0.673895083
s05,t,s0501a,507.192743,talk,1,talk,FALSE,6.941353373,FALSE,0.051526179,0.027565166,0.079091345,0.348523163
s05,t,s0501a,301.537733,try,1,try,TRUE,4.727301784,TRUE,0.033054776,0.06811964,0.101174416,0.673289183
s05,t,s0501a,551.786764,try,1,try,TRUE,6.397726163,TRUE,0.046179548,0.070911914,0.117091463,0.605611313
s05,t,s0503a,496.858875,talk,1,talk,FALSE,5.918025661,FALSE,0.049788207,0.04019048,0.089978687,0.446666667
s05,t,s0502b,10.712798,talk,1,talk,FALSE,4.917248607,FALSE,0.037022026,0.012322209,0.049344235,0.249719329
s05,t,s0501a,542.167274,try,1,try,TRUE,4.034614979,TRUE,0.041429941,0.086076831,0.127506773,0.675076543
s05,t,s0503a,214.479813,tried,1,try,TRUE,6.38722184,TRUE,0.035705611,0.042572074,0.078277685,0.543859649
s05,t,s0501a,100.74023,terms,1,term,TRUE,5.277096266,FALSE,0.038796707,0.004100589,0.042897296,0.095590859
s05,t,s0501b,19.597812,trouble,2,trouble,TRUE,6.024103643,FALSE,0.022506094,0.084867231,0.107373325,0.790393995
s05,t,s0501a,300.748407,town,1,town,FALSE,4.727301784,TRUE,0.041377236,0.066356779,0.107734014,0.615931552
s05,t,s0502b,7.62803,talk,1,talk,FALSE,4.917248607,FALSE,0.028893348,0.015207025,0.044100373,0.344827586
s05,t,s0502b,6.944667,talk,1,talk,FALSE,4.917248607,FALSE,0.028893348,0.015207025,0.044100373,0.344827586
s05,t,s0502a,20.955375,talk,1,talk,FALSE,5.650008793,FALSE,0.048660911,0.047140258,0.095801169,0.492063492
s05,t,s0502a,353.424,trying,2,try,TRUE,5.516753166,TRUE,0.021279788,0.015890217,0.037170004,0.427501069
s05,t,s0501b,41.755125,travel,2,travel,TRUE,5.327305867,FALSE,0.011624831,0.086630837,0.098255668,0.881687936
s06,k,s0601a,412.784477,cut,1,cut,FALSE,2.957378993,TRUE,0.079294185,0.081541062,0.160835246,0.506985026
s06,k,s0602a,582.356528,college,2,college,FALSE,2.724527394,FALSE,0.017829523,0.095740065,0.113569587,0.843007948
s06,k,s0602b,51.020692,caught,1,catch,FALSE,4.770205186,FALSE,0.044084044,0.125979533,0.170063576,0.740779039
s06,k,s0601a,275.825521,cut,1,cut,FALSE,3.733337979,TRUE,0.072510362,0.064349992,0.136860354,0.47018724
s06,k,s0601b,27.864329,quiet,2,quiet,TRUE,4.73236024,FALSE,0.086924384,0.104075384,0.190999768,0.544897959
s06,k,s0602b,80.729128,caught,1,catch,FALSE,2.985235028,FALSE,0.033343402,0.092965926,0.126309328,0.736017897
s06,k,s0602a,469.3195,kegs,1,keg,FALSE,1.941062861,FALSE,0.095398761,0.069873247,0.165272007,0.422777261
s06,k,s0602a,200.001755,country,2,country,FALSE,4.263715388,FALSE,0.05246948,0.058038866,0.110508345,0.525198939
s06,k,s0602a,83.205555,claims,1,claim,TRUE,5.147207689,FALSE,0.088830555,0.084534205,0.17336476,0.487608929
s06,k,s0602a,538.347993,kids,1,kid,FALSE,2.090349614,FALSE,0.047184391,0.068519744,0.115704135,0.592197887
s06,k,s0602b,534.286742,country,2,country,FALSE,4.098203894,FALSE,0.062635626,0.074453668,0.137089294,0.543103448
s06,k,s0601a,377.839067,class,1,class,TRUE,1.300348371,TRUE,0.053123232,0.081169659,0.134292891,0.604422604
s06,k,s0602a,60.582203,country,2,country,FALSE,1.576157946,FALSE,0.038791165,0.064507122,0.103298287,0.624474267
