"Word","Pair","Subject","Repetition","VOT","consonant","minpair","Klatt","VHeight","Length","Freq_KF","SMean","BMean","NNbors","VC","CC","CV","CMU","BaseDur","Freq_S","Structure","B1","NumCCoda","VcFinalC","mpCode","NNbors.c","VC.c","CC.c","CV.c"
"cad","k9","2",2,0.068961,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","11",1,0.112124,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","3",1,0.101937,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","9",2,0.08408,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","6",3,0.047555,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","1",3,0.094223,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","11",2,0.123362,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","1",1,0.1104,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","10",3,0.088765,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","5",1,0.09057,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","9",1,0.081043,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","10",1,0.108773,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","8",1,0.129612,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","10",2,0.099053,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","12",3,0.068249,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","8",3,0.064505,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","5",3,0.102849,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
"cad","k9","11",3,0.151686,"k","no","k@d","lo",3,1,0.07,0.0073,30,10,6,10,"KAED",0.284742983,0,"CVG",0.0122,1,"vcd",-0.5,10.0782990212622,2.95477556530543,1.67532905838677,4.28315896051299
